year,month,day,latitude,longitude,zon.winds,mer.winds,humidity,air temp.,date,Index
1980,3,7,-0.02,-109.44,-6.8,0.7,,26.14,1980-03-07,
1980,3,11,-0.02,-109.44,-4.2,1.5,,25.3,1980-03-11,
1980,8,27,0.0,-109.56,-3.8,3.7,,22.36,1980-08-27,
1980,8,29,0.0,-109.56,-5.0,2.4,,22.45,1980-08-29,
1980,8,31,0.0,-109.56,-6.2,5.1,,23.12,1980-08-31,
1980,9,4,0.0,-109.56,-3.7,1.7,,21.9,1980-09-04,
1980,9,9,0.0,-109.56,-4.7,3.8,,22.03,1980-09-09,
1980,9,27,0.0,-109.56,-4.3,1.3,,21.9,1980-09-27,
1980,10,5,0.0,-109.56,-3.2,2.4,,21.28,1980-10-05,
1980,10,21,0.0,-109.56,-5.3,1.9,,21.2,1980-10-21,
1980,10,22,0.0,-109.56,-4.9,3.0,,21.45,1980-10-22,
1980,10,25,0.0,-109.56,-3.4,2.7,,21.88,1980-10-25,
1980,11,1,0.0,-109.56,-5.4,4.8,,22.19,1980-11-01,
1980,11,7,0.0,-109.56,-5.9,3.0,,23.31,1980-11-07,
1980,11,10,0.0,-109.56,-5.8,4.9,,22.84,1980-11-10,
1980,11,14,0.0,-109.56,-4.4,4.2,,22.73,1980-11-14,
1980,11,18,0.0,-109.56,-6.1,4.1,,22.55,1980-11-18,
1980,11,19,0.0,-109.56,-6.0,3.6,,22.56,1980-11-19,
1980,11,23,0.0,-109.56,-5.8,4.3,,22.77,1980-11-23,
1980,11,25,0.0,-109.56,-5.8,2.7,,23.64,1980-11-25,
1980,11,28,0.0,-109.56,-4.9,4.9,,23.31,1980-11-28,
1980,12,1,0.0,-109.56,-2.8,4.2,,22.1,1980-12-01,
1980,12,2,0.0,-109.56,-1.7,5.4,,22.47,1980-12-02,
1980,12,8,0.0,-109.56,-3.8,3.2,,22.98,1980-12-08,
1980,12,9,0.0,-109.56,-5.9,3.9,,22.84,1980-12-09,
1980,12,13,0.0,-109.56,-3.8,4.3,,23.16,1980-12-13,
1980,12,16,0.0,-109.56,-5.4,5.1,,24.53,1980-12-16,
1980,12,18,0.0,-109.56,-5.0,3.9,,24.1,1980-12-18,
1980,12,23,0.0,-109.56,-3.6,3.0,,23.2,1980-12-23,
1981,1,4,0.0,-109.56,-3.2,2.4,,22.62,1981-01-04,
1981,1,7,0.0,-109.56,-2.3,3.1,,22.62,1981-01-07,
1981,1,14,0.0,-109.56,-2.9,4.5,,22.53,1981-01-14,
1981,1,19,0.0,-109.56,-3.7,2.1,,23.06,1981-01-19,
1981,1,23,0.0,-109.56,-4.4,2.1,,22.8,1981-01-23,
1981,1,25,0.0,-109.56,-4.3,3.7,,22.75,1981-01-25,
1981,1,29,0.0,-109.56,-1.9,3.0,,23.25,1981-01-29,
1981,2,2,0.0,-109.56,-4.2,2.0,,23.23,1981-02-02,
1981,2,10,0.01,-109.56,-5.5,2.4,,24.81,1981-02-10,
1981,2,11,0.01,-109.56,-3.3,3.2,,24.53,1981-02-11,
1981,2,13,0.01,-109.56,-5.1,2.2,,24.31,1981-02-13,
1981,2,25,0.01,-109.56,-4.4,1.8,,23.94,1981-02-25,
1981,3,10,0.01,-109.56,-1.0,2.0,,24.44,1981-03-10,
1981,7,5,-0.02,-94.94,-2.2,4.8,,22.1,1981-07-05,
1981,7,8,-0.02,-94.94,-2.5,4.4,,20.19,1981-07-08,
1981,7,10,-0.02,-94.94,-0.4,2.4,,21.11,1981-07-10,
1981,7,12,-0.02,-94.94,-2.9,5.3,,21.16,1981-07-12,
1981,7,15,-0.02,-94.94,-2.7,1.5,,20.84,1981-07-15,
1981,7,21,-0.02,-94.94,-3.6,6.6,,21.53,1981-07-21,
1981,7,22,-0.04,-109.7,-5.1,1.2,,22.34,1981-07-22,
1981,7,24,-0.02,-94.94,-2.7,3.0,,20.16,1981-07-24,
1981,7,26,-0.02,-94.94,-1.4,2.2,,20.44,1981-07-26,
1981,7,28,-0.04,-109.7,-6.0,2.9,,21.52,1981-07-28,
1981,7,30,-0.04,-109.7,-3.3,0.4,,20.72,1981-07-30,
1981,7,31,-0.04,-109.7,-4.5,0.8,,20.52,1981-07-31,
1981,8,5,-0.04,-109.7,-2.2,1.3,,20.52,1981-08-05,
1981,8,5,-0.02,-94.94,-3.8,3.5,,19.62,1981-08-05,
1981,8,7,-0.02,-94.94,-5.2,3.9,,19.2,1981-08-07,
1981,8,7,-0.04,-109.7,-4.6,0.8,,20.34,1981-08-07,
