Unnamed: 0,year,month,day,latitude,longitude,zon.winds,mer.winds,humidity,air temp.,date
4951,1980,3,7,-0.02,-109.44,-6.8,0.7,,26.14,1980-03-07
16738,1980,3,11,-0.02,-109.44,-4.2,1.5,,25.3,1980-03-11
10752,1980,8,27,0.0,-109.56,-3.8,3.7,,22.36,1980-08-27
5289,1980,8,29,0.0,-109.56,-5.0,2.4,,22.45,1980-08-29
2392,1980,8,31,0.0,-109.56,-6.2,5.1,,23.12,1980-08-31
14580,1980,9,4,0.0,-109.56,-3.7,1.7,,21.9,1980-09-04
8627,1980,9,9,0.0,-109.56,-4.7,3.8,,22.03,1980-09-09
9228,1980,9,27,0.0,-109.56,-4.3,1.3,,21.9,1980-09-27
12450,1980,10,5,0.0,-109.56,-3.2,2.4,,21.28,1980-10-05
15002,1980,10,21,0.0,-109.56,-5.3,1.9,,21.2,1980-10-21
7064,1980,10,22,0.0,-109.56,-4.9,3.0,,21.45,1980-10-22
24693,1980,10,25,0.0,-109.56,-3.4,2.7,,21.88,1980-10-25
15748,1980,11,1,0.0,-109.56,-5.4,4.8,,22.19,1980-11-01
22926,1980,11,7,0.0,-109.56,-5.9,3.0,,23.31,1980-11-07
20628,1980,11,10,0.0,-109.56,-5.8,4.9,,22.84,1980-11-10
2578,1980,11,14,0.0,-109.56,-4.4,4.2,,22.73,1980-11-14
22894,1980,11,18,0.0,-109.56,-6.1,4.1,,22.55,1980-11-18
6085,1980,11,19,0.0,-109.56,-6.0,3.6,,22.56,1980-11-19
2390,1980,11,23,0.0,-109.56,-5.8,4.3,,22.77,1980-11-23
7095,1980,11,25,0.0,-109.56,-5.8,2.7,,23.64,1980-11-25
7435,1980,11,28,0.0,-109.56,-4.9,4.9,,23.31,1980-11-28
2970,1980,12,1,0.0,-109.56,-2.8,4.2,,22.1,1980-12-01
8540,1980,12,2,0.0,-109.56,-1.7,5.4,,22.47,1980-12-02
20131,1980,12,8,0.0,-109.56,-3.8,3.2,,22.98,1980-12-08
20820,1980,12,9,0.0,-109.56,-5.9,3.9,,22.84,1980-12-09
4565,1980,12,13,0.0,-109.56,-3.8,4.3,,23.16,1980-12-13
2363,1980,12,16,0.0,-109.56,-5.4,5.1,,24.53,1980-12-16
18054,1980,12,18,0.0,-109.56,-5.0,3.9,,24.1,1980-12-18
4549,1980,12,23,0.0,-109.56,-3.6,3.0,,23.2,1980-12-23
4501,1981,1,4,0.0,-109.56,-3.2,2.4,,22.62,1981-01-04
12501,1981,1,7,0.0,-109.56,-2.3,3.1,,22.62,1981-01-07
6600,1981,1,14,0.0,-109.56,-2.9,4.5,,22.53,1981-01-14
13640,1981,1,19,0.0,-109.56,-3.7,2.1,,23.06,1981-01-19
817,1981,1,23,0.0,-109.56,-4.4,2.1,,22.8,1981-01-23
13741,1981,1,25,0.0,-109.56,-4.3,3.7,,22.75,1981-01-25
17,1981,1,29,0.0,-109.56,-1.9,3.0,,23.25,1981-01-29
4332,1981,2,2,0.0,-109.56,-4.2,2.0,,23.23,1981-02-02
2416,1981,2,10,0.01,-109.56,-5.5,2.4,,24.81,1981-02-10
23926,1981,2,11,0.01,-109.56,-3.3,3.2,,24.53,1981-02-11
3370,1981,2,13,0.01,-109.56,-5.1,2.2,,24.31,1981-02-13
15678,1981,2,25,0.01,-109.56,-4.4,1.8,,23.94,1981-02-25
478,1981,3,10,0.01,-109.56,-1.0,2.0,,24.44,1981-03-10
25173,1981,7,5,-0.02,-94.94,-2.2,4.8,,22.1,1981-07-05
17807,1981,7,8,-0.02,-94.94,-2.5,4.4,,20.19,1981-07-08
24058,1981,7,10,-0.02,-94.94,-0.4,2.4,,21.11,1981-07-10
12677,1981,7,12,-0.02,-94.94,-2.9,5.3,,21.16,1981-07-12
10331,1981,7,15,-0.02,-94.94,-2.7,1.5,,20.84,1981-07-15
21771,1981,7,21,-0.02,-94.94,-3.6,6.6,,21.53,1981-07-21
12147,1981,7,22,-0.04,-109.7,-5.1,1.2,,22.34,1981-07-22
15584,1981,7,24,-0.02,-94.94,-2.7,3.0,,20.16,1981-07-24
4045,1981,7,26,-0.02,-94.94,-1.4,2.2,,20.44,1981-07-26
15496,1981,7,28,-0.04,-109.7,-6.0,2.9,,21.52,1981-07-28
14264,1981,7,30,-0.04,-109.7,-3.3,0.4,,20.72,1981-07-30
25989,1981,7,31,-0.04,-109.7,-4.5,0.8,,20.52,1981-07-31
3703,1981,8,5,-0.04,-109.7,-2.2,1.3,,20.52,1981-08-05
6236,1981,8,5,-0.02,-94.94,-3.8,3.5,,19.62,1981-08-05
13100,1981,8,7,-0.02,-94.94,-5.2,3.9,,19.2,1981-08-07
10204,1981,8,7,-0.04,-109.7,-4.6,0.8,,20.34,1981-08-07
3381,1981,8,9,-0.04,-109.7,-5.4,0.7,,20.2,1981-08-09
7993,1981,8,12,-0.02,-94.94,-3.4,4.6,,19.19,1981-08-12
16637,1981,8,13,-0.04,-109.7,-3.6,2.0,,20.73,1981-08-13
23261,1981,8,15,-0.02,-94.94,-1.8,1.5,,18.3,1981-08-15
25057,1981,9,3,-0.02,-94.94,-3.4,3.9,,19.45,1981-09-03
14446,1981,9,6,-0.02,-94.94,-2.7,4.8,,19.27,1981-09-06
12401,1981,9,9,-0.02,-94.94,-4.0,5.6,,20.92,1981-09-09
12483,1981,9,10,-0.02,-94.94,-5.8,7.0,,21.56,1981-09-10
15495,1981,9,13,-0.02,-94.94,-2.9,5.3,,19.3,1981-09-13
20172,1981,9,19,-0.02,-94.94,-2.9,6.2,,21.2,1981-09-19
22784,1981,9,22,-0.02,-94.94,-3.8,5.8,,20.06,1981-09-22
10597,1981,9,29,-0.02,-94.94,-0.7,4.5,,19.7,1981-09-29
43,1981,10,7,-0.02,-94.94,-3.3,5.9,,21.55,1981-10-07
315,1981,10,8,-0.02,-94.94,-2.4,5.4,,21.48,1981-10-08
19799,1981,10,12,-0.02,-94.94,-3.8,2.1,,20.58,1981-10-12
9510,1981,10,21,-0.02,-94.94,-0.9,5.1,,20.95,1981-10-21
11,1981,10,26,-0.02,-94.94,-2.4,2.2,,21.06,1981-10-26
24116,1981,11,5,0.0,-95.0,-1.1,4.5,,20.94,1981-11-05
14900,1981,11,7,0.03,-109.5,-5.7,2.1,,21.48,1981-11-07
26075,1981,11,11,0.03,-109.5,-3.5,3.8,,22.66,1981-11-11
13759,1981,11,13,0.03,-109.5,-4.6,4.2,,22.94,1981-11-13
4442,1981,11,16,0.03,-109.5,-4.3,4.8,,22.89,1981-11-16
25510,1981,11,20,-0.01,-94.94,-1.2,3.4,,20.17,1981-11-20
8173,1981,11,21,-0.01,-94.94,-0.2,2.6,,20.34,1981-11-21
11653,1981,11,24,-0.01,-94.94,-2.6,5.5,,21.47,1981-11-24
