Index,year,month,day,latitude,longitude,zon.winds,mer.winds,humidity,air temp.,date
0,1997,1,1,0.07,-110.0,-3.1,1.4,89.6,22.66,1997-01-01
14389,1997,1,1,5.04,-109.94,,,86.4,25.05,1997-01-01
14802,1997,1,1,5.12,-124.9,-1.4,1.7,,24.19,1997-01-01
15338,1997,1,1,4.91,-139.9,-6.5,3.4,80.5,26.2,1997-01-01
15838,1997,1,1,4.95,147.0,,,75.9,28.64,1997-01-01
29123,1997,1,1,-8.28,-155.0,-4.7,-5.2,73.2,28.03,1997-01-01
16249,1997,1,1,4.99,-154.9,-6.5,2.3,77.5,26.73,1997-01-01
16786,1997,1,1,5.0,156.1,-0.6,0.1,75.3,28.94,1997-01-01
17317,1997,1,1,5.05,165.0,-3.0,-2.0,77.4,28.47,1997-01-01
17854,1997,1,1,4.97,-169.9,-4.7,0.9,69.8,28.17,1997-01-01
18307,1997,1,1,5.0,-179.9,,,77.4,28.58,1997-01-01
18706,1997,1,1,5.09,-94.9,0.4,5.3,96.4,24.23,1997-01-01
488,1997,1,1,-0.22,-124.3,-4.4,1.7,,,1997-01-01
13923,1997,1,1,-1.98,-95.0,-2.4,1.5,97.4,22.2,1997-01-01
28585,1997,1,1,-7.97,-125.0,-5.4,-1.0,79.4,25.72,1997-01-01
19760,1997,1,1,-5.01,-125.0,-5.5,-0.6,,25.08,1997-01-01
20296,1997,1,1,-4.99,-139.9,-7.2,-2.0,76.0,26.28,1997-01-01
20833,1997,1,1,-4.99,-155.0,-5.8,-4.4,78.3,26.77,1997-01-01
21364,1997,1,1,-5.01,156.0,2.8,-1.4,83.4,27.36,1997-01-01
21749,1997,1,1,-4.99,165.2,,,,,1997-01-01
28047,1997,1,1,-8.06,-109.94,-4.4,0.9,75.6,24.6,1997-01-01
22287,1997,1,1,-4.99,-170.0,-1.8,-7.3,76.9,28.0,1997-01-01
22825,1997,1,1,-5.02,-179.9,5.7,-0.5,83.6,27.45,1997-01-01
23356,1997,1,1,-5.01,-95.06,-5.4,1.9,84.5,22.92,1997-01-01
23871,1997,1,1,8.04,-110.2,-3.6,-2.2,,25.55,1997-01-01
24408,1997,1,1,8.03,-125.0,-4.8,-5.3,78.9,26.12,1997-01-01
27509,1997,1,1,8.05,-94.94,,,78.4,25.84,1997-01-01
19224,1997,1,1,-4.99,-110.0,-4.8,0.6,83.6,23.25,1997-01-01
29647,1997,1,1,-8.04,164.9,,,84.1,28.05,1997-01-01
13408,1997,1,1,-2.01,-180.0,-0.4,-4.0,80.7,27.28,1997-01-01
12880,1997,1,1,-2.15,-170.0,-3.3,-5.8,79.2,27.42,1997-01-01
2591,1997,1,1,0.0,156.1,7.3,-0.9,79.9,27.56,1997-01-01
